Name,Icon,Description
Arts & Culture,palette,Posts about Arts & Culture
Career & Work,briefcase-business,Posts about Career & Work
Cars & Transport,car,Posts about Cars & Transport
Clothes & Fashion,shirt,Posts about Clothes & Fashion
Education & Learning,book-open,Posts about Education & Learning
Entertainment & Events,drama,Posts about Entertainment & Events
Family & Relationships,hand-heart,Posts about Family & Relationships
Finance & Money,coins,Posts about Finance & Money
Food & Drink,chef-hat,Posts about Food & Drink
Friends & Social,handshake,Posts about Friends & Social
Health & Wellbeing,heart-pulse,Posts about Health & Wellbeing
History,landmark,Posts about History
Hobbies & Interests,puzzle,Posts about Hobbies & Interests
Home & Garden,house,Posts about Home & Garden
Music & Audio,music,Posts about Music & Audio
Nature & Environment,trees,Posts about Nature & Environment
News & Current Affairs,newspaper,Posts about News & Current Affairs
Opinions & Ideas,lightbulb,Posts about Opinions & Ideas
Other,shield-question-mark,Posts about Other
Personal,venetian-mask,Posts about Personal
Photography & Video,camera,Posts about Photography & Video
Science,atom,Posts about Science
Sport & Fitness,bike,Posts about Sport & Fitness
Technology,cpu,Posts about Technology
Travel,plane,Posts about Travel
